"File","Characters","Lines","Bytes"
"第0章 はじめに.md","6877","283","15247"
"第10章_現代的なプログラミング技術と将来展望.md","21581","804","29260"
"第11章_終わりに.md","18061","684","26396"
"第1章_美しいソースコードの基本原則.md","26939","1174","40944"
"第2章_命名の重要性とベストプラクティス.md","24147","1100","38945"
"第3章_モデリングとしてのプログラミング.md","30195","1129","38989"
"第4章_マルチパラダイムプログラミング.md","37008","1405","45336"
"第5章_オブジェクト指向設計の真髄.md","66178","2372","74229"
"第6章_テスト駆動開発とTestable設計.md","25024","1085","32260"
"第7章_リファクタリングと継続的品質改善.md","47808","1697","56064"
"第8章_実践的なコーディング手法.md","45650","1726","55878"
"第9章_チーム開発における品質管理.md","42157","1514","53152"
"表紙.md","183","7","365"
"付録A_美しいソースコードのための七箇条（詳細版）.md","11752","562","16193"
"付録B_命名規則とコーディング規約例.md","14179","582","17992"
"付録C_リファクタリングパターン集.md","18613","795","22573"
"付録D_新人プログラマーのためのコーディングの心得Q&A.md","1134","36","2645"
"付録E_参考文献と出典.md","6249","254","11176"
"付録F_用語集.md","6327","332","14320"
"目次.md","2012","128","4467"
"__TOTAL__","452074","17669","596431"
